851	舰	艦	jiàn	jian	4
852	鱼	魚	yú	yu	2
853	杂	雜	zá	za	2
854	误	誤	wù	wu	4
855	湾	灣	wān	wan	1
856	吉	吉	jí	ji	2
857	减	減	jiǎn	jian	3
858	编	編	biān	bian	1
859	楚	楚	chǔ	chu	3
860	肯	肯	kěn	ken	3
861	测	測	cè	ce	4
862	败	敗	bài	bai	4
863	屋	屋	wū	wu	1
864	跑	跑	pǎo	pao	3
865	梦	夢	mèng	meng	4
866	散	散	sàn	san	4
867	温	溫	wēn	wen	1
868	困	困	kùn	kun	4
869	剑	劍	jiàn	jian	4
870	渐	漸	jiàn	jian	4
871	封	封	fēng	feng	1
872	救	救	jiù	jiu	4
873	贵	貴	guì	gui	4
874	枪	槍	qiāng	qiang	1
875	缺	缺	quē	que	1
876	楼	樓	lóu	lou	2
877	县	縣	xiàn	xian	4
878	尚	尚	shàng	shang	4
879	毫	毫	háo	hao	2
880	移	移	yí	yi	2
881	娘	娘	niáng	niang	2
882	朋	朋	péng	peng	2
883	画	畫	huà	hua	4
884	班	班	bān	ban	1
885	智	智	zhì	zhi	4
886	亦	亦	yì	yi	4
887	耳	耳	ěr	er	3
888	恩	恩	ēn	en	1
889	短	短	duǎn	duan	3
890	掌	掌	zhǎng	zhang	3
891	恐	恐	kǒng	kong	3
892	遗	遺	yí	yi	2
893	固	固	gù	gu	4
894	席	席	xí	xi	2
895	松	松	sōng	song	1
896	秘	祕	mì	mi	4
897	谢	謝	xiè	xie	4
898	鲁	魯	lǔ	lu	3
899	遇	遇	yù	yu	4
900	康	康	kāng	kang	1
901	虑	慮	lǜ	lü	4
902	幸	幸	xìng	xing	4
903	均	均	jūn	jun	1
904	销	銷	xiāo	xiao	1
905	钟	鍾	zhōng	zhong	1
906	诗	詩	shī	shi	1
907	藏	藏	cáng	cang	2
908	赶	趕	gǎn	gan	3
909	剧	劇	jù	ju	4
910	票	票	piào	piao	4
911	损	損	sǔn	sun	3
912	忽	忽	hū	hu	1
